cluster_id,cluster_size,centroid_dim
0,2412,54
1,1678,54
2,2116,54
3,2433,54
4,2239,54
5,3306,54
6,2214,54
7,3127,54
8,2429,54
9,2554,54
10,2755,54
11,2295,54
12,2476,54
13,2588,54
14,2668,54
15,1905,54
16,2393,54
17,2379,54
18,2048,54
19,2574,54
20,2373,54
21,2347,54
22,2829,54
23,1989,54
24,2396,54
25,3213,54
26,2170,54
27,2526,54
28,2567,54
29,3115,54
30,1546,54
31,2810,54
32,2315,54
33,2936,54
34,2183,54
35,2460,54
36,2958,54
37,2415,54
38,2700,54
39,2547,54
40,2629,54
41,2574,54
42,2415,54
43,2162,54
44,1813,54
45,2529,54
46,2951,54
47,2759,54
48,2706,54
49,2675,54
50,3833,54
51,2517,54
52,2326,54
53,2594,54
54,2034,54
55,2438,54
56,2782,54
57,2856,54
58,2474,54
59,2077,54
60,2379,54
61,2418,54
62,3246,54
63,3140,54
64,1871,54
65,2729,54
66,1577,54
67,2521,54
68,3787,54
69,2447,54
70,1868,54
71,2405,54
72,1987,54
73,2552,54
74,2951,54
75,2391,54
76,2558,54
77,2782,54
78,2468,54
79,2597,54
80,2248,54
81,2455,54
82,2694,54
83,3121,54
84,2718,54
85,2142,54
86,1953,54
87,2466,54
88,2557,54
89,2030,54
90,2264,54
91,2018,54
92,3578,54
93,2418,54
94,2105,54
95,2678,54
96,2770,54
97,1972,54
98,2379,54
99,2632,54
